公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京猎户星空科技有限公司,猎户星空,500-2000人,A轮,朝阳区,语言模型算法实习生,应届毕业生,硕士,6k-12k,"成长空间,餐补"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,算法工程师,3-5年,本科,20k-40k,高薪期权，过亿用户，职业大牛，团队氛围好
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,机器学习/算法工程师(J180715001),5-10年,本科,20k-30k,六险一金
百度在线网络技术（北京）有限公司,百度,2000人以上,不需要融资,海淀区,算法工程师,3-5年,本科,10k-20k,薪酬福利好
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,2019校招-算法工程师,应届毕业生,本科,11k-22k,上市公司
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,通州区,算法工程师,3-5年,本科,15k-25k,京东
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,算法工程师,3-5年,硕士,20k-40k,大平台
北京达佳互联信息技术有限公司,快手,500-2000人,D轮及以上,海淀区,算法工程师/数据挖掘工程师,3-5年,本科,20k-40k,"带薪年假,年度体检,免费午餐"
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,海淀区,算法工程师-搜索与推荐-自然语言处理,3-5年,本科,20k-40k,"大牛云集,技术挑战"
腾讯科技(深圳)有限公司,腾讯,2000人以上,上市公司,海淀区,算法工程师,3-5年,本科,15k-30k,腾讯大平台
